x,y,label,cell_type,cell_size_pixel
552.0450000000001,86.97,462,Keratin-positive tumor,353
770.25,89.11500000000001,463,Keratin-positive tumor,683
346.515,85.605,465,Keratin-positive tumor,985
415.35,85.605,466,Macrophages,120
521.235,87.94500000000001,467,Keratin-positive tumor,376
127.14000000000001,91.065,468,Keratin-positive tumor,1227
203.97000000000003,87.165,469,Macrophages,380
436.995,88.72500000000001,470,Keratin-positive tumor,888
532.9350000000001,87.94500000000001,471,Keratin-positive tumor,432
376.93500000000006,88.72500000000001,472,Keratin-positive tumor,575
324.87,87.94500000000001,473,Keratin-positive tumor,281
406.96500000000003,90.285,474,Keratin-positive tumor,946
597.48,87.94500000000001,475,Mesenchymal-like,457
253.5,87.945,476,Keratin-positive tumor,136
333.45000000000005,90.09,477,Keratin-positive tumor,652
447.72,89.505,478,Keratin-positive tumor,536
728.715,89.50500000000001,479,Keratin-positive tumor,783
27.689999999999998,89.89500000000001,480,Keratin-positive tumor,395
145.275,93.6,481,Keratin-positive tumor,1815
116.025,88.92,482,Keratin-positive tumor,341
540.735,90.09,483,Keratin-positive tumor,196
676.845,88.72500000000001,484,Macrophages,402
211.38,90.47999999999999,485,Macrophages,306
385.905,92.03999999999999,486,Keratin-positive tumor,486
63.96000000000001,94.185,487,Keratin-positive tumor,1193
279.435,89.7,488,Macrophages,293
301.275,94.38,489,Keratin-positive tumor,864
426.27,93.99000000000001,490,Keratin-positive tumor,848
667.485,93.21000000000001,491,Other immune,596
530.01,92.43,492,Keratin-positive tumor,161
623.8050000000001,91.26,493,Keratin-positive tumor,249
738.6600000000001,92.625,494,Keratin-positive tumor,177
290.745,93.21000000000001,495,Keratin-positive tumor,605
362.115,92.03999999999999,496,Macrophages,380
414.18,94.185,497,Keratin-positive tumor,607
576.81,94.185,498,Macrophages,525
616.2,95.745,499,Keratin-positive tumor,915
690.3,96.72,500,Macrophages,1355
546.585,93.015,501,Keratin-positive tumor,416
701.415,92.43,502,Macrophages,381
784.875,95.94,503,Keratin-positive tumor,260
394.875,94.77000000000001,504,Keratin-positive tumor,464
608.01,95.745,505,Keratin-positive tumor,503
223.86,95.16,506,CD8-T,697
554.385,93.6,507,Keratin-positive tumor,241
588.705,94.185,508,Macrophages,547
200.265,100.035,509,Keratin-positive tumor,1723
634.14,95.16,510,Macrophages,516
82.485,99.255,511,Keratin-positive tumor,1002
311.22,96.525,513,Keratin-positive tumor,622
719.1600000000001,95.355,514,CD8-T,698
778.05,94.77000000000001,515,Keratin-positive tumor,304
231.465,93.99000000000001,516,Mono / Neu,244
259.15500000000003,96.915,517,Macrophages,967
509.73,98.475,518,DC / Mono,1122
534.4950000000001,95.355,519,Keratin-positive tumor,218
281.385,99.84,520,Keratin-positive tumor,1271
649.35,94.575,521,Keratin-positive tumor,390
170.625,98.86500000000001,522,Keratin-positive tumor,1261
520.4549999999999,97.69500000000001,523,Keratin-positive tumor,725
436.605,99.255,524,Keratin-positive tumor,999
118.95,99.84,525,Keratin-positive tumor,1025
600.21,96.525,526,Keratin-positive tumor,629
30.810000000000002,98.86500000000001,527,Keratin-positive tumor,628
375.57000000000005,94.77000000000001,528,Mono / Neu,415
644.085,97.305,530,Keratin-positive tumor,306
390.58500000000004,97.89,531,Keratin-positive tumor,159
626.5350000000001,97.11,532,DC / Mono,176
745.875,98.67000000000002,533,Macrophages,474
378.885,100.815,536,Mono / Neu,358
530.985,100.62,537,Keratin-positive tumor,460
363.675,101.4,538,Macrophages,722
42.9,100.62,539,Keratin-positive tumor,402
493.93500000000006,100.035,541,Other immune,129
773.175,99.255,543,Keratin-positive tumor,376
14.43,96.72,544,Macrophages,441
70.39500000000001,103.935,545,Keratin-positive tumor,647
702.1949999999999,99.64500000000001,546,Macrophages,196
710.19,102.18,547,Keratin-positive tumor,535
668.655,102.765,548,CD4-T,555
681.72,102.57,549,Keratin-positive tumor,686
36.075,101.205,550,Keratin-positive tumor,240
307.905,102.96000000000001,551,Keratin-positive tumor,306
323.115,104.91,552,Macrophages,978
136.89,105.105,553,Macrophages,950
626.73,102.96000000000001,554,DC / Mono,550
386.88,104.91,555,Keratin-positive tumor,758
738.855,101.985,556,Mono / Neu,429
58.11000000000001,105.105,557,Keratin-positive tumor,702
293.08500000000004,103.74000000000001,558,Keratin-positive tumor,693
355.095,105.105,559,Endothelial,625
402.09000000000003,103.74000000000001,560,Mono / Neu,313
409.11,103.155,561,Mono / Neu,356
396.24,104.91,562,Other immune,273
601.965,104.52000000000001,564,Macrophages,440
345.93,105.495,566,Mesenchymal-like,526
152.10000000000002,108.42,567,Keratin-positive tumor,1036
162.04500000000002,104.715,568,DC / Mono,306
247.65,107.44500000000001,569,Keratin-positive tumor,1092
765.96,105.105,570,Keratin-positive tumor,289
774.735,106.665,571,Keratin-positive tumor,436
662.0250000000001,105.885,573,Other immune,386
304.98,107.64000000000001,574,Keratin-positive tumor,514
783.315,109.785,575,Keratin-positive tumor,652
51.675,106.665,576,Keratin-positive tumor,273
178.815,105.105,577,Keratin-positive tumor,173
45.63,108.42,578,Keratin-positive tumor,329
