"","CD8.T","Other.immune","DC...Mono","CD3.T","B","NK","Keratin.positive.tumor","Tumor","CD4.T","Mesenchymal.like","Macrophages","Endothelial","Tregs","DC","Mono...Neu","Neutrophils","bb"
"101",0.01264108656608,0.0673206014214772,0.0151423461113902,0.0500643566250431,0,0,0.0290635138280981,0,0,0.126650510049584,0.58882828485056,0,0,0,0.010586880760938,0.0997024197868296,"bb4"
"102",0.0196234801717204,0.0270897817309256,0,0.00705192479800584,0,0,0.0265663892281547,0,0,0.0698924464473249,0.760465161131227,0,0,0,0,0.0893108164926419,"bb4"
"103",0.00413839764371849,0.209483557315648,0.0992290681283276,0.0470465039539056,0,0,0,0,0.0448419604069045,0,0.453819987933492,0,0.00455633976478085,0,0.136884184853223,0,"bb4"
"104",0.0129992549902386,0.210511995913063,0.219965871498171,0.0472577523590381,0.0117866091127767,0,0.0158796294745439,0,0.0290138076870984,0.00520057377327343,0.25100439612491,0.0289119434217033,0,0,0.127849780277086,0.0396183853680974,"bb4"
"105",0.0279916678014632,0.208180294353193,0.0129385060235418,0.0360619882746874,0,0,0.0357847207747123,0,0,0.086390893376819,0.283127346338496,0.116029822620707,0,0,0.19349476043638,0,"bb4"
"106",0.0324374980046596,0.123763519709185,0.0340526604331763,0,0.00847210196878408,0,0.0516506224132075,0.257035489362088,0,0.24319905240531,0.236678317558822,0,0,0,0.0127107381447683,0,"bb4"
"107",0.0706476775882566,0.159896504000447,0.0768795547565281,0.013146316107691,0,0,0.0746802795599956,0.134668371465178,0,0.191968277490422,0.162121623352749,0,0,0,0.115991395678734,0,"bb4"
"108",0.0535219739206488,0.101276408785024,0,0,0,0,0.115520506689346,0.0543453068736059,0,0.365489935203178,0.256835553220253,0,0,0,0.0530103153079454,0,"bb4"
"109",0.0310958328614583,0.168707905601271,0.00554830994192549,0.040988971231389,0,0,0,0,0,0.0619443178183292,0.598884631790383,0.0054163148209462,0,0.0553063508920136,0.0321073650422849,0,"bb4"
"110",0.0387161693922363,0.170966551712008,0,0.0613946447641974,0.00302713830775249,0,0.0253587893963331,0,0.00750785025203673,0.0258231054862494,0.499382700318313,0.00681397193113949,0.0242283585369453,0.00611155886798334,0.130669161034805,0,"bb4"
"111",0,0.354508652496985,0.0319148679157626,0.107975499988679,0,0,0,0,0.0276460122682461,0.200264601367819,0.194668467696757,0.0330114401915475,0,0.0372720011198527,0.0127384569543506,0,"bb4"
"112",0,0.184849956309021,0.114250367347237,0.0234704393086786,0,0,0.00995374326395324,0,0.00962242527150071,0.102864691830867,0.424468779794141,0.0225972669239934,0,0.0701735114551607,0.0377488184954477,0,"bb4"
"113",0.0147680666849316,0.376306040005708,0.049429556434353,0.0740176423637358,0,0,0.0098474734986521,0,0.0242587281011475,0.21578878511789,0.108669944661065,0.030092197197115,0,0.0363079156068667,0.0605136503285356,0,"bb4"
"114",0.0232312639270366,0.161510418732117,0,0.0369842568462238,0,0,0,0,0,0.0628297165441041,0.631882518824206,0,0,0.0516137682111778,0.0319480569151345,0,"bb4"
