"","EndothelialCells","EpithelialCells","Fibroblasts","Other","NK","BCells","PlasmaCells","DC","CD4-T","CD8-T","Macrophages","OtherImmune"
"T_BB085",1.46818919551639,9.38009787184414,2.61011417212702,26.672104420016,2.67607928690592,0.9335160484161,0.560109593127963,0.186703197709321,26.0828148993761,7.06800500621724,1.28572170847328,21.0765446061205
"T_BB088",4.92379835107111,38.1008206256403,29.191090276083,13.0128956939922,0.448086251119772,0.193140628538811,0.478988748140847,0.0154512485105375,3.70457259028575,2.76058085283148,2.62160971755502,4.5489650221026
"T_BB090",0.265957508734156,36.9680850502179,1.3297872729261,4.78723407423608,3.17941808268424,9.12354755393063,0.331765343967884,0.193529817026478,19.2417236985787,10.9473957936943,5.64494452552222,7.98661125558948
"T_BB091",1.65137610532581,55.7798165968972,1.8348623392509,31.3761468000896,0.92275272209151,0.0977032265355393,0.108559142674554,0.0108559161390151,3.87247359930686,1.68029745618352,0.933298464934399,1.73185763992889
"T_BB094",2.7583798508376,21.7527933196344,8.24022343531237,41.131284942161,0.812960666429175,5.19161889625697,0.482264799463004,0.434803833790924,8.50819327476491,4.75531108271305,2.82088527710602,3.11128059541324
"T_BB099",0.416730973376109,3.5807994896851,1.28106193274292,4.39882702969015,10.0935890243623,29.9404066604498,8.47652453530466,2.10147758545288,18.0067223959791,14.0548220948692,2.36764272816997,5.28139491765964
"T_BB102",2.78807135720988,20.734074466578,6.15846121294842,48.7912475626429,0.922837945539199,0.1905397377572,0.0184852066326793,0.15783514803112,2.78356216235814,1.23119095897001,10.9562187936617,5.26747548454305
"T_BB107",1.46755334248733,91.9743177883365,1.12359554211718,0.848429220610337,0.224005086081547,0.232005264942896,0.0160003623088025,0.0340007704794683,0.534694584465885,0.637927697341527,1.84347504717186,1.06399529365667
"T_BB109",4.14673049540609,43.38118022522,3.18979265767344,29.5055821171715,2.81535493332411,2.09997785167299,0.184613434684469,0.669223708147467,4.9053720662665,1.64283686795206,1.5416997094679,5.91763591965215
"T_BB110",3.74230220345949,33.2070108660218,1.42112746994999,0.805305585458633,6.96387612014519,3.76874698289193,0.729351170423925,0.288106669100011,21.5244550931822,15.3948874717118,4.24271352436742,7.91211679740343
"T_BB111",7.29995319272203,6.83200748440079,14.0851661420183,2.99485262852971,4.57702357122074,1.97105778788819,1.99948650102205,0.265334724704109,15.5926038411142,12.0164949760169,21.9745928739899,10.3914264139491
"T_BB112a",1.77215191309726,9.24050631395289,3.16455692013299,40.7594936860471,4.30863862136633,5.09433156817543,0.0760347954894878,0.963107439575706,17.2377628174605,4.67334908363787,1.7897422037442,10.920324592257
"T_BB113b",1.38050047095455,41.4581535212524,1.94132876590095,35.893011218632,0.894533968523453,0.138329991944533,0.0414990053141623,0.0599429990862318,5.8071489879644,2.70626686031886,7.14420421307873,2.53508000518897
"T_BB116",2.87637701848371,41.2484700042007,5.99755202898557,28.0293757634951,0.709623799535883,0.409398357650515,0.136466111934097,0.0272932180171743,5.32411750429385,2.51760595424362,3.84495584280459,8.87876438610658
